%time,field.header.seq,field.header.stamp,field.header.frame_id,field.current_id,field.relative_rad
1385303040813484884,460,1385303040813484884,,69,0.0
1385303040874189912,461,1385303040874189912,,70,0.0
1385303040978754394,462,1385303040978754394,,70,0.0
1385303041067777190,463,1385303041067777190,,71,0.0
1385303041173194616,464,1385303041173194616,,0,0.0
1385303041275453651,465,1385303041275453651,,0,0.0
1385303041406115138,466,1385303041406115138,,1,0.0
1385303041511095372,467,1385303041511095372,,1,0.0
1385303041586064448,468,1385303041586064448,,2,0.0
1385303041672673095,469,1385303041672673095,,72,0.0
1385303041775969354,470,1385303041775969354,,73,0.0
1385303041886187197,471,1385303041886187197,,73,0.0
1385303042004476661,472,1385303042004476661,,73,0.0
1385303042124485477,473,1385303042124485477,,74,0.0
1385303042345334877,474,1385303042345334877,,74,0.0
1385303042406953954,475,1385303042406953954,,74,0.0
1385303042440319372,476,1385303042440319372,,74,0.0
1385303042534242040,477,1385303042534242040,,75,0.0
1385303042638297675,478,1385303042638297675,,75,0.0
1385303042741476559,479,1385303042741476559,,5,0.0
1385303042849968466,480,1385303042849968466,,6,0.0
1385303042942545935,481,1385303042942545935,,6,0.0
1385303043037315765,482,1385303043037315765,,7,0.0
1385303043137795189,483,1385303043137795189,,8,0.0
1385303043263552314,484,1385303043263552314,,8,0.0
1385303043341002813,485,1385303043341002813,,9,0.0
1385303043444604833,486,1385303043444604833,,9,0.0
1385303043555296361,487,1385303043555296361,,9,0.0
1385303043657017006,488,1385303043657017006,,9,0.0
1385303043776203157,489,1385303043776203157,,9,0.0
1385303043846249723,490,1385303043846249723,,9,0.0
1385303043948836385,491,1385303043948836385,,9,0.0
1385303044052855396,492,1385303044052855396,,10,0.0
1385303044150399333,493,1385303044150399333,,10,0.0
1385303044257167108,494,1385303044257167108,,10,0.0
1385303044343492361,495,1385303044343492361,,10,0.0
1385303044458751021,496,1385303044458751021,,10,0.0
1385303044550313189,497,1385303044550313189,,11,0.0
1385303044665623545,498,1385303044665623545,,11,0.0
1385303044764245024,499,1385303044764245024,,11,0.0
1385303044857256150,500,1385303044857256150,,11,0.0
1385303044959611767,501,1385303044959611767,,11,0.0
1385303045060559129,502,1385303045060559129,,11,0.0
1385303045152913728,503,1385303045152913728,,11,0.0
1385303045252091469,504,1385303045252091469,,11,0.0
1385303045355997467,505,1385303045355997467,,11,0.0
1385303045457149777,506,1385303045457149777,,11,0.0
1385303045562942354,507,1385303045562942354,,11,0.0
1385303045662909555,508,1385303045662909555,,12,0.0
1385303045757886682,509,1385303045757886682,,12,0.0
1385303045862250232,510,1385303045862250232,,12,0.0
1385303045976659967,511,1385303045976659967,,11,0.0
1385303046107738488,512,1385303046107738488,,12,0.0
1385303046192328890,513,1385303046192328890,,76,0.0
1385303046342353515,514,1385303046342353515,,76,0.0
1385303046432632755,515,1385303046432632755,,76,0.0
1385303046526986538,516,1385303046526986538,,76,0.0
1385303046563899414,517,1385303046563899414,,76,0.0
1385303046659345704,518,1385303046659345704,,76,0.0
1385303046760196930,519,1385303046760196930,,13,0.0
1385303046862834519,520,1385303046862834519,,76,0.0
1385303046968638124,521,1385303046968638124,,76,0.0
1385303047083505588,522,1385303047083505588,,76,0.0
1385303047167703248,523,1385303047167703248,,77,0.0
1385303047279148545,524,1385303047279148545,,77,0.0
1385303047368185644,525,1385303047368185644,,77,0.0
1385303047469202765,526,1385303047469202765,,77,0.0
1385303047569119183,527,1385303047569119183,,77,0.0
1385303047670199857,528,1385303047670199857,,77,0.0
1385303047787604736,529,1385303047787604736,,77,0.0
1385303047885291596,530,1385303047885291596,,77,0.0
1385303047980908431,531,1385303047980908431,,77,0.0
1385303048088745320,532,1385303048088745320,,77,0.0
1385303048170790988,533,1385303048170790988,,77,0.0
1385303048275595347,534,1385303048275595347,,77,0.0
1385303048376822707,535,1385303048376822707,,77,0.0
1385303048480763204,536,1385303048480763204,,77,0.0
1385303048580732948,537,1385303048580732948,,78,0.0
1385303048680103960,538,1385303048680103960,,78,0.0
1385303048828223454,539,1385303048828223454,,78,0.0
1385303048876188125,540,1385303048876188125,,78,0.0
1385303048990897037,541,1385303048990897037,,78,0.0
1385303049081634654,542,1385303049081634654,,78,0.0
1385303049179344391,543,1385303049179344391,,78,0.0
1385303049343399451,544,1385303049343399451,,78,0.0
1385303049391126342,545,1385303049391126342,,78,0.0
1385303049487769834,546,1385303049487769834,,78,0.0
1385303049591187837,547,1385303049591187837,,78,0.0
